1	True Beauty	Yaongyi	Romance	39900000	9.6	6400K
2	Midnight Poppy Land	Lilydusk	Romance	10400000	9.81	2100K
3	Age Matters	Enjelicious	Romance	25900000	9.79	3500K
4	Unholy Blood	Lina Im / Jeonghyeon Kim	Supernatural	9900000	9.85	1500K
5	LUMINE	Emma Krogell	Fantasy	18900000	9.82	3000K
6	Jackson's Diary	Paola Batalla	Supernatural	2900000	9.66	649K
7	Teenage Mercenary	YC / Rakyeon	Action	929796	9.87	537.6K
8	Nice To Meet You	Wishroomness	Romance	5800000	9.82	1100K
9	I Love Yoo	Quimchee	Drama	29000000	9.78	4300K
10	The Makeup Remover	Lee Yone	Romance	9300000	9.7	1000K
11	Acception	Colourbee	Drama	10200000	9.07	750.6K
12	She's Hopeless	Seokwoo	Drama	1500000	9.66	669.6K
13	The Blood of the Butterfly	SAM	Fantasy	8300000	9.75	332.3K
14	Your Throne	Remin	Fantasy	217959	9.81	1200K
15	To Love Your Enemy	Jungyoon / Taegeon	Romance	10800000	9.74	1700K
16	Sixth Sense Kiss	Got W / Jocobong	Romance	790313	9.71	485.1K
17	Weak Hero	SEOPASS / RAZEN	Action	9900000	9.85	1000K
18	Shotgun Boy	Carnby Kim / Hongpil	Thriller	1700000	9.83	620.8K
19	Love Me Knot	Sophia	Romance	3800000	9.37	838.8K
20	Muted	Miranda Mundt	Supernatural	5600000	9.71	724K
21	Get Schooled	Yongtaek Chae / GARAM HAN	Drama	883687	9.76	407.7K
22	Lookism	Taejun Pak	Drama	33900000	9.79	2200K
23	From a Knight to a Lady	Ink. / Hyerim Sung	Fantasy	218511	9.64	275.9k
24	Purple Hyacinth	Ephemerys / Sophism	Mystery	9500000	9.91	1300K
25	Odd Girl Out	Morangji	Drama	15800000	9.84	796.4K
26	Unwritten Death	MaracuyasArt	Romance	158001	9.74	181.8K
27	It's Mine	LuckS	Thriller	7200000	9.73	1000K
28	Secret Playlist	2F	Romance	2300000	9.66	560.6K
29	Seasons of Blossom	HONGDUCK / NEMONE	Romance	3200000	9.86	584.9K
30	Death of a Pop Star	Violet Karim	Romance	2300000	9.34	542.4K
31	Before We Knew It	Nakano Mayaka	Romance	3500000	8.82	699K
32	No Longer A Heroine!	Maenggi Ki	Romance	200000	9.38	396.3K
33	Viral Hit	the gom (happybooks2u) / jungmi	Action	60,620	9.83	395.9K
34	Date First, Love Later	Taejun Pak / Kim Junghyun	Romance	2500000	9.5	141.5K
35	Let Me Stay Over Tonight!	Yunana / Heabun	Romance	678444	9.42	272.4K
36	Lost in Translation	Jjolee	Drama	4500000	9.71	576.7K
37	Mom, I'm Sorry	MiTi / GUGU	Drama	3900000	9.72	760.5K
38	Madame Outlaw	Junk Ren / WmW	Historical	535638	9.54	257.2K
39	Back to You	Honey B	Drama	3100000	9.7	648.7K
40	To You Who Swallowed a Star	ARI	Romance	1500000	9.51	321.9K
41	Heavenly Roommates	MARO / kang jaegeon	Fantasy	163300	9.52	191.9K
42	She Would Never Know	Cafelatte / JINHA	Romance	991292	9.06	360K
43	Neon Revenge	MURO	Action	140430	9.68	267.3K
44	The Spark in Your Eyes	Gisong / NemGa	Fantasy	973686	9.66	188.9K
45	The Croaking	echorise	Fantasy	500000	9.79	550K
46	There's Love Hidden in Lies	Kawai Aporo	Romance	814665	8.81	260.5K
47	Raven Saga	Chihiro Howe	Fantasy	792670	9.73	180.6K
48	Midnight Rain	Pani	Drama	1300000	9.1	343.2K
49	The Girl Downstairs	Songah Min	Romance	2900000	9.6	528.7K
50	The Nuna at Our Office	Juin Kim / Taejun Pak Webtoon Company	Drama	368698	9.57	204.9K
51	After School Lessonsfor Unripe Apples	WasakBasak / JANE	Drama	194208	9.82	110K
52	Bad Signs	Nawa	Comedy	177346	9.56	251.1K
53	Lone	Mel0h	Fantasy	1500000	9.72	314K
54	Tales of Greed	Soonkki	Thriller	185973	9.33	162.3K
55	Moonlight Beauty Parlor	Jimena Aranda	Drama	1500000	9.67	155.3K
56	Money Game	Bae Jin-Soo	Thriller	33873	8.51	51.8K
57	Crown of Feathers	Nicki Pau Preto / Foxkirin	Fantasy	984245	9.22	300K
58	Pyramid Game	Dalgonyak	Drama	720233	9.53	173.8K
59	Fluidum	GirlsOnFilm / ValeriaM	Drama	1100000	9.11	199.2K
60	The Sound of Another	Eun Hyuk Park	Sci-fi	2100000	8.84	187.6K
61	The World is Money and Power	Baek June / Thresher	Action	184029	9.68	162.1K
62	Random Chat	Dongwoo Han / Dohee Lee	Drama	366790	9.62	311.2K
63	If AI Ruled the World	POGO / HOOPA	Sci-fi	323100	9.63	150.8K
64	She Bites!	MandaRat / NoChanJoo	Slice of life	19257	9.7	42.3K
65	CODE HELIX	Na-eum So	Drama	496930	9.36	36K
66	Garden Club Detective Squad	Nikki Dibya Wardhana / Bryan Arfiandy	Mystery	19608	9.73	180K
67	The Snake and the Flower	52chu	Historical	693249	9.7	207.6K
68	From Morning to Night	JiEun Son	Fantasy	66773	9.33	115.8K
69	Da Yomanville Gang	Jason King	Drama	1700000	9.22	234.7K
70	Take Me, I'm Yours	RoseBean / One Punch Rabbit	Drama	191969	9.46	179.8K
71	Kidults	Hahim	Slice of life	188648	9.49	148K
72	A Man's Man	Dogado / Lucas	Drama	144623	9.78	88.8K
73	See No Evil	Gwangtanto / Maduru	Thriller	243752	9.61	134.4K
74	IF	JongBeom Lee	Action	2400000	9.03	150.8K
75	Dr. Frost	Keon Tan	Mystery	354005	9.8	377K
76	Beyond Virtual	EGA	Drama	294484	9.18	154.2K
77	Maya's World	Tupaikidal	Drama	82708	9.21	91.8K
78	SOLEIL	YenKin	Fantasy	958095	9.54	246.2K
79	HEART Anthology	Marvin.W / caw-chan	Heartwarming	1500000	9.65	221.3K
80	The Horizon	JH	Drama	175864	9.84	139.8K
81	The Savior's Time	Song Geukjang	Thriller	237221	9.57	123.6K
82	Asterion	NeverDraws	Drama	240863	8.97	87.5K
83	My Life as a Loser	kkanaria	Drama	5347	9.77	111.1K
84	Thornstone	Taejun Pak / SW Jeon	Fantasy	216838	9.06	76.3K
85	Her Bucket List	Vicente Miranda	Romance	507131	9.72	308.6K
86	To Be Ordinary!	Yellow sheep / So-p	Drama	949502	9.07	18.4K
87	Dark Mortal	Jeonyeok Lee	Drama	100000	9.79	209.3K
88	Bastard	Carnby Kim / Youngchan Hwang	Thriller	700000	9.87	1500K
89	Behind the Curtain	dagwa	Romance	137416	8.41	99.4K
90	A Good Day to be a Dog	Lee Hey	Romance	1000000	9.84	1200K
91	SAVE ME	Big Hit Ent. / LICO	Drama	3900000	9.87	2100K
92	This Magical Moment	Yunhui Na	Supernatural	452501	9.38	142.5K
93	Your Letter	Hyeon A Cho	Drama	100000	9.93	502.9K
94	LUFF	Arechan	Romance	900000	9.31	1200K
95	Days of Hana	Seokwoo	Drama	7100000	9.77	1000K
96	Where Tangents Meet	instantmiso	Romance	2700000	9.74	1100K
97	My Dear Cold-Blooded King	lifelight	Romance	15100000	9.72	1900K
98	Death's Game	LEE WONSIK / GGULCHAN	Drama	1300000	9.75	306.8K
99	The Golden Spoon	HD3	Drama	165712	9.07	52K
100	Girls of the Wild's	HUN / ZHENA	Action	6900000	9.57	813.8K
